
time,open,high,low,close,volume,volCcy
1656781200000,19294.4,19350,19283.2,19300.9,208543,2085.43
1656777600000,19231.7,19337,19187,19293.8,357933,3579.33
1656774000000,19281.6,19300,19168.1,19231.7,407975,4079.75
1656770400000,19269.2,19363.1,19255.9,19281.7,343724,3437.24
1656766800000,19342.9,19346.6,19222.2,19268,390443,3904.43
1656763200000,19196.5,19456.4,19150,19343.7,1108424,11084.24
1656759600000,19244.6,19276.6,19161.2,19196.5,365743,3657.43
1656756000000,19175,19288,19134.2,19244.7,586646,5866.46
1656752400000,19117,19192.8,18976.6,19174,648641,6486.41
1656748800000,19129.7,19197.6,19084.9,19117,314927,3149.27
1656745200000,19217.9,19277.4,19112.1,19127.8,332657,3326.57
1656741600000,19239.2,19283.8,19186,19217.9,198246,1982.46
1656738000000,19198.5,19311.9,19180.7,19239.3,301672,3016.72
1656734400000,19132.5,19244.4,19110.3,19198.5,325767,3257.67
1656730800000,19197.2,19228.8,19066,19132.5,458067,4580.67
1656727200000,19231.6,19294.4,19105,19198.1,527325,5273.25
1656723600000,19177.6,19298.5,19136.8,19235.1,367727,3677.27
1656720000000,19282,19392.2,19160,19177.5,529034,5290.34
1656716400000,19296.2,19480.5,19215.5,19281.3,436570,4365.7
1656712800000,19396.4,19419.4,19285.5,19297.1,262342,2623.42
1656709200000,19433.5,19521.4,19336.3,19396.4,173190,1731.9
1656705600000,19388.4,19700,19348.5,19432.1,607517,6075.17
1656702000000,19438.5,19442.7,19273.1,19390.1,328311,3283.11
1656698400000,19486.2,19544.3,19385.4,19437.3,264905,2649.05
1656694800000,19346.7,19530.4,19324.2,19485.1,374662,3746.62
1656691200000,19290.3,19472.1,19251.5,19347.3,514827,5148.27
1656687600000,19409.4,19483.5,19207,19289,774534,7745.34
1656684000000,19450,19536.3,19286.6,19409.3,1003570,10035.7
1656680400000,19285.4,19676.7,19200.5,19450,1482032,14820.32
1656676800000,19190.1,19348.7,19124.3,19286.6,622663,6226.63
1656673200000,19070,19224.9,18971.5,19190.2,767058,7670.58
1656669600000,19426.3,19507.7,18952,19070.8,1311083,13110.83
1656666000000,19522.5,19562.8,19366,19425,694146,6941.46
1656662400000,19576.6,19826.4,19469.2,19522.5,1087388,10873.88
1656658800000,19401.8,19669.9,19334,19578.3,893174,8931.74
1656655200000,19466.2,19493.9,19362,19401.9,461893,4618.93
1656651600000,19408.1,19604.1,19309,19467.9,989305,9893.05
1656648000000,19733.2,19777,19368,19407.9,1660152,16601.52
1656644400000,20300.5,20309.5,19688,19731.6,1616100,16161
1656640800000,20414.3,20560,20265,20300.5,706224,7062.24
1656637200000,20295.8,20480,20253.7,20413.4,1014076,10140.76
1656633600000,19940.9,20979,19659.6,20295.8,3614568,36145.68
1656630000000,18893.5,19980,18880.5,19941.6,2213135,22131.35
1656626400000,18821.7,18956.5,18737.5,18893.5,472894,4728.94
1656622800000,18751.9,18966.9,18718.5,18821.7,503572,5035.72
1656619200000,18930,19075.9,18598.9,18753.6,817051,8170.51
1656615600000,18972.3,19048.8,18851,18930.3,462816,4628.16
1656612000000,19102.4,19125,18961.4,18972.3,292847,2928.47
1656608400000,19142.5,19217.1,19070,19099.7,271210,2712.1
1656604800000,19142.7,19288,19064.3,19141.5,693880,6938.8
1656601200000,19115.3,19253,19085.3,19142.6,702756,7027.56
1656597600000,18865,19152,18850.8,19116.1,946223,9462.23
1656594000000,19201.2,19264.9,18725.9,18864.9,1720172,17201.72
1656590400000,19096,19333,19054,19201.2,1004933,10049.33
1656586800000,19103.5,19170.5,19011.4,19097.8,567024,5670.24
1656583200000,19150,19169.5,18978,19103.5,643497,6434.97
1656579600000,19234.3,19256,18909,19149.9,1894948,18949.48
1656576000000,19430.6,19437.5,19117,19235.3,1031218,10312.18
1656572400000,19415.2,19470.4,19308,19431.2,876703,8767.03
1656568800000,20003.4,20032.7,19336.5,19412.9,1943459,19434.59
1656565200000,20053.4,20070.2,19962.8,20003.4,350773,3507.73
1656561600000,20076.5,20094,20005.8,20053.4,248202,2482.02
1656558000000,20083.2,20098.5,20046.3,20076.6,213805,2138.05
1656554400000,20018.6,20120,20003.8,20082.4,268261,2682.61
1656550800000,20039,20088,19945,20018.6,416803,4168.03
1656547200000,20118.8,20167,20000.1,20039,435992,4359.92
1656543600000,20210.5,20212.9,20044.8,20117,361801,3618.01
1656540000000,20290.4,20322.7,20153,20210.4,327804,3278.04
1656536400000,20226.1,20354.8,20192.9,20290.5,327031,3270.31
1656532800000,20223.3,20444,20123.3,20226.2,785876,7858.76
1656529200000,20052.2,20280,20034.5,20226.3,446513,4465.13
1656525600000,20089.5,20127.2,20035.8,20050.1,262357,2623.57
1656522000000,20022.2,20089.4,19928.8,20089.4,516493,5164.93
1656518400000,20086.9,20104.6,19975.1,20022.1,504688,5046.88
1656514800000,20122.5,20139.4,19988,20086.2,432728,4327.28
1656511200000,20083.2,20180,20031.9,20122.5,698398,6983.98
1656507600000,20013.9,20143,19886,20083.5,1158092,11580.92
1656504000000,20107.2,20188.5,19972.2,20013.7,751015,7510.15
1656500400000,20101.8,20126.4,19850,20107.2,1016657,10166.57
1656496800000,20069.4,20165,20031.5,20101.9,435207,4352.07
1656493200000,19996.4,20246,19970,20069.4,788572,7885.72
1656489600000,20094.5,20155,19960.3,19996.4,471089,4710.89
1656486000000,19947.5,20135,19901,20094.5,741982,7419.82
1656482400000,20183.6,20220,19900,19947.4,1312656,13126.56
1656478800000,20307.9,20364.5,20042.7,20180.6,933550,9335.5
1656475200000,20284.1,20380,20252.4,20307.9,488382,4883.82
1656471600000,20343.6,20393.1,20244.4,20284.1,337952,3379.52
1656468000000,20358,20400,20291.3,20343.7,267943,2679.43
1656464400000,20294.4,20388,20237.9,20358,327787,3277.87
1656460800000,20280.9,20390,20145.2,20294.5,700032,7000.32
1656457200000,20309.6,20375.1,20209,20280.9,439238,4392.38
1656453600000,20394.6,20457.6,20267.5,20309.6,344670,3446.7
1656450000000,20277.1,20395,20273.1,20393.7,200590,2005.9
1656446400000,20255.5,20324.6,20198.5,20278.8,353203,3532.03
1656442800000,20354,20368.5,20196.7,20255.2,346969,3469.69
1656439200000,20633.9,20644.3,20250,20354,1210946,12109.46
1656435600000,20715.1,20724.4,20588.5,20635.3,457126,4571.26
1656432000000,20611.7,20769.9,20550,20714.7,636654,6366.54
1656428400000,20847.3,20848.1,20590,20611.8,726470,7264.7
1656424800000,21061,21094,20721.3,20847.3,1074648,10746.48
1656421200000,20955.6,21128.4,20868,21061,779217,7792.17
1656417600000,21000,21137.2,20943.7,20956.8,524087,5240.87
1656414000000,21025.8,21091.1,20905.9,21000,520485,5204.85
1656410400000,21062.9,21094.5,20991.7,21025.6,330109,3301.09
1656406800000,21115.8,21222,21050,21063,806346,8063.46
1656403200000,20880.2,21158,20866,21112,1005621,10056.21
1656399600000,20859.5,20935,20828.7,20878.7,545372,5453.72
1656396000000,20743.1,20898,20742.9,20858.9,476146,4761.46
1656392400000,20767,20828.4,20731,20743,376171,3761.71
1656388800000,20732.4,20795,20697,20767.1,305333,3053.33
1656385200000,20640.1,20760,20629.2,20733.9,359851,3598.51
1656381600000,20619.7,20684,20481.8,20640.1,556254,5562.54
1656378000000,20772.8,20813.1,20547,20617.9,569990,5699.9
1656374400000,20740.6,20875.3,20680.5,20772.7,631950,6319.5
1656370800000,20807.4,20890,20676.9,20740.4,408895,4088.95
1656367200000,20807.5,20949.6,20762.4,20807.2,412947,4129.47
1656363600000,20915.1,20917.1,20786.2,20805,147515,1475.15
1656360000000,20856.4,20965.2,20852.9,20915.1,226352,2263.52
1656356400000,20822.7,20896.8,20720.1,20856.5,307129,3071.29
1656352800000,20725.8,20964,20419.7,20822.6,1126378,11263.78
1656349200000,20760.7,20786,20702,20725.8,194738,1947.38
1656345600000,20757.1,20816.5,20670.9,20760.7,457920,4579.2
1656342000000,20818,20849,20680,20759,528838,5288.38
1656338400000,20740.8,20841.5,20588,20818,1355217,13552.17
1656334800000,21238,21287.3,20723.6,20743.6,1864657,18646.57
1656331200000,21306.4,21348.3,21172,21237.9,619748,6197.48
1656327600000,21436.5,21455.5,21286.5,21304.7,395168,3951.68
1656324000000,21453.9,21498,21394.1,21438.7,277855,2778.55
1656320400000,21486.6,21499.2,21420,21453.8,273725,2737.25
1656316800000,21357.9,21550,21334.3,21486.9,715165,7151.65
1656313200000,21266.1,21397.7,21257.9,21358,530256,5302.56
1656309600000,21180,21279.1,21164.5,21266.1,213379,2133.79
1656306000000,21247,21270,21143,21179.9,239970,2399.7
1656302400000,21167.6,21357.5,21143.6,21245.4,444638,4446.38
1656298800000,21133,21189,21113,21167.6,193810,1938.1
1656295200000,21093.7,21199.5,21043.8,21132.6,279965,2799.65
1656291600000,21050.5,21150,20925.1,21090.9,480491,4804.91
1656288000000,21038.1,21124.8,20971.4,21050.6,413155,4131.55
1656284400000,21144.5,21246,20977.8,21038.1,517222,5172.22
1656280800000,21386.5,21408.7,20950,21144.5,921978,9219.78
1656277200000,21400.5,21423.3,21330.4,21386.6,192313,1923.13
1656273600000,21282.4,21428.5,21232.2,21399.3,208469,2084.69
1656270000000,21189.6,21317.9,21183.1,21282.4,221938,2219.38
1656266400000,21263.5,21269.5,21122,21191.4,331191,3311.91
1656262800000,21356,21365.9,21130.5,21263.5,429853,4298.53
1656259200000,21326.2,21449.4,21267.6,21355.9,357825,3578.25
1656255600000,21415,21418.8,21191.7,21327.2,668507,6685.07
1656252000000,21408.1,21499,21392.7,21414.9,333792,3337.92
1656248400000,21458.5,21487.9,21278.8,21408.1,863653,8636.53
1656244800000,21707.9,21890,21423.5,21461.5,1523729,15237.29
1656241200000,21418.4,21825.8,21398.5,21707.8,995007,9950.07
1656237600000,21417.1,21449.9,21377.5,21418.3,217092,2170.92
1656234000000,21454.4,21484,21359,21417.2,330571,3305.71
1656230400000,21397.8,21474,21372.3,21452.5,285024,2850.24
1656226800000,21475.5,21487.4,21364.5,21399.9,343180,3431.8
1656223200000,21444.6,21526.2,21335.9,21475,393566,3935.66
1656219600000,21426.6,21486.1,21370,21443.6,167435,1674.35
1656216000000,21424.3,21486,21360,21426.6,250235,2502.35
1656212400000,21357.6,21454.2,21333,21422,180599,1805.99
1656208800000,21395.6,21418.8,21270,21357.5,247371,2473.71
1656205200000,21469.6,21550,21300,21395.5,472770,4727.7
1656201600000,21489.7,21548.9,21384.5,21469.6,379667,3796.67
1656198000000,21435.3,21599,21430,21489.6,323422,3234.22
1656194400000,21516.3,21529,21392.8,21435.3,331254,3312.54
1656190800000,21226.5,21533,21208.7,21516.2,582956,5829.56
1656187200000,21205.8,21256.9,21131.7,21227.1,213396,2133.96
1656183600000,21237.9,21262.1,21160,21205.9,192859,1928.59
1656180000000,21096.5,21298.8,21044.9,21239.3,413233,4132.33
1656176400000,21055,21166.1,21011,21096.5,279182,2791.82
1656172800000,20963.1,21075.4,20920,21055,368122,3681.22
1656169200000,21129.8,21188,20888,20963.1,691684,6916.84
1656165600000,21171,21229.3,21079.5,21131.8,405351,4053.51
1656162000000,21151.8,21249.8,21070.7,21174.4,462286,4622.86
1656158400000,21339.9,21380.2,21031.6,21151.8,947945,9479.45
1656154800000,21434.5,21479,21318,21340.3,323653,3236.53
1656151200000,21432.6,21488,21388,21434.5,255601,2556.01
1656147600000,21392.5,21500,21355.1,21432.6,368384,3683.84
1656144000000,21503.8,21555.5,21370,21393.3,501431,5014.31
1656140400000,21304.3,21632,21297.4,21503.7,1112828,11128.28
