,time,open,high,low,close,vol,volCcy,MA5,MA10,MA60
19,2022-06-11 16:00:00,28415.6,28798.0,26874.1,28089.4,12695192,126951.92,23310.760000000002,21822.53,
20,2022-06-10 16:00:00,29452.5,29487.7,28240.7,28411.6,11258811,112588.11,24777.04,22524.04,
21,2022-06-09 16:00:00,30306.7,30463.6,29222.0,29452.2,9970351,99703.51,26383.140000000003,23386.76,
22,2022-06-08 16:00:00,30476.1,30727.5,29908.8,30306.6,8291899,82918.99,27906.120000000003,24435.06,
23,2022-06-07 16:00:00,29890.3,31596.7,29743.0,30478.7,16128215,161282.15,29347.7,25587.08,
24,2022-06-06 16:00:00,31542.0,31609.0,29206.5,29888.1,12837431,128374.31,29707.440000000002,26509.1,
25,2022-06-05 16:00:00,29966.6,31761.7,29755.4,31541.9,11303476,113034.76,30333.5,27555.27,
26,2022-06-04 16:00:00,29850.7,29984.1,29505.3,29966.6,4035128,40351.28,30436.379999999997,28409.76,
27,2022-06-03 16:00:00,29505.3,29995.0,29401.0,29852.0,4694484,46944.84,30345.46,29125.789999999997,
28,2022-06-02 16:00:00,30206.4,30750.0,29253.5,29505.0,9546696,95466.96,30150.72,29749.21,
29,2022-06-01 16:00:00,30753.7,30760.0,29302.0,30206.3,10912022,109120.22,30214.359999999997,29960.9,
30,2022-05-31 16:00:00,32052.7,32450.0,30728.1,30757.1,10859421,108594.21,30057.4,30195.45,
31,2022-05-30 16:00:00,30637.6,32385.6,30550.0,32052.6,12296789,122967.89,30474.6,30455.489999999998,
32,2022-05-29 16:00:00,29214.0,30986.1,29072.9,30637.5,11075933,110759.33,30631.7,30488.579999999998,
33,2022-05-28 16:00:00,28988.9,29511.0,28773.8,29214.0,5166297,51662.97,30573.5,30362.109999999997,
34,2022-05-27 16:00:00,28855.0,29277.3,28268.1,28989.0,8268540,82685.4,30330.04,30272.2,
35,2022-05-26 16:00:00,29393.3,29800.0,28608.3,28855.0,12872098,128720.98,29949.619999999995,30003.51,
36,2022-05-25 16:00:00,29622.2,30063.0,27959.9,29393.6,15225862,152258.62,29417.82,29946.210000000003,
